,Title,Director,Cast,Genre,Date,Year
1392,Seetharatnam Gari Abbayi,E. V. V. Satyanarayana,Vanisri,,,1992
1393,Subba Rayudi Pelli,Dasari Narayana Rao,Rajendra Prasad,,,1992
1394,Sundarakanda,K. Raghavendra Rao,Daggubati Venkatesh,,,1992
1395,Swati Kiranam,K. Vishwanath,Mammootty,,,1992
1396,Teja,N. Hari Babu,Master Tarun,,,1992
1397,Valu Jada Tolu Beltu,Vijaya Bapineedu,Rajendra Prasad,,,1992
1398,Yagnam,Gutha Ramineedu,P. L. Narayana,,,1992
1399,Aagraham,K. S. Ravikumar,Rajasekhar,,,1993
1400,Aadarsham,,Jagapathi Babu,,,1993
1401,Aasayam,Mohan Gandhi,Vijayashanti,,,1993
1402,Abbaigaru,E. V. V. Satyanarayana,Daggubati Venkatesh,,,1993
1403,Akka Pettanam Chelleli Kapuram,Dasari Narayana Rao,Rajendra Prasad,,,1993
1404,Allari Alludu,A. Kodandarami Reddy,Akkineni Nagarjuna,,,1993
1405,Allari Priyudu,K. Raghavendra Rao,Rajasekhar,,,1993
1406,Amma Koduku,Vadde Ramesh,Rajasekhar,,,1993
1407,Bangaru Bullodu,Raviraja Pinisetty,Nandamuri Balakrishna,,,1993
1408,Bava Bavamaridi,Sarath,Suman,,,1993
1409,Chirunavvula Varamistava,N. H. Chandra,Vikram,,,1993
1410,Chittemma Mogudu,Kodi Ramakrishna,Mohan Babu,,,1993
1411,Detective Narada,Vamshi,Mohan Babu,,,1993
1412,Evandi Aavida Vachindi,E. V. V. Satyanarayana,Sobhan Babu,,,1993
1413,Gaayam,Ram Gopal Varma,Jagapathi Babu,,,1993
1414,Jamba Lakidi Pamba,E. V. V. Satyanarayana,Naresh,,,1993
1415,Joker,Vamshi,Rajendra Prasad,,,1993
1416,Kannayya Kittayya,Relangi Narasimha Rao,Rajendra Prasad,,,1993
1417,Kondapalli Raja,Raviraja Pinisetty,Daggubati Venkatesh,,,1993
1418,Kongu Chatu Krishnudu,K. Ajay Kumar,Naresh,,,1993
1419,Kunti Putrudu,Dasari Narayana Rao,Mohan Babu,,,1993
1420,Mahanadi,Santhana Bharathi,Kamal Hassan,,,1993
1421,Major Chandrakanth,K. Raghavendra Rao,N.T. Rama Rao,,,1993
1422,Manavarali Pelli,P N Ramachandra Rao,Harish,,,1993
1423,Matru Devo Bhava,K. Ajay Kumar,Madhavi,,,1993
1424,Mayalodu,S. V. Krishna Reddy,Rajendra Prasad,,,1993
1425,Mechanic Alludu,B. Gopal,Chiranjeevi,,,1993
1426,Money,Shiva Nageswara Rao,J. D. Chakravarthy,,,1993
1427,Mister Pellam,Bapu,Rajendra Prasad,,,1993
1428,Mutha Mestri,A. Kodandarami Reddy,Chiranjeevi,,,1993
1429,Nippu Ravva,A. Kodandarami Reddy,Balakrishna Nandamuri,,,1993
1430,One By Two,Shiva Nageswara Rao,Meka Srikanth,,,1993
1431,Parugo Parugu,Relangi Narasimha Rao,Rajendra Prasad,,,1993
1432,Paruvu Pratishta,V. C. Guhanathan,"Suman, Suresh, Malasri, Lakshmi, Srividya, Raj Kumar, Srinath",,,1993
1433,Pekata Papa Rao,Y Nageshwara Rao,Rajendra Prasad,,,1993
1434,Pillalu Diddina Kapuram,Perala,Jagapathi Babu,,,1993
1435,Prema Pusthakam,Gollapudi Srinivas,Ajith Kumar,,,1993
1436,Rajendrudu Gajendrudu,S. V. Krishna Reddy,Rajendra Prasad,,,1993
1437,Rajeswari Kalyanam,Kranthi Kumar,ANR,,,1993
1438,Rakshana,Uppalapati Narayana Rao,Akkineni Nagarjuna,,,1993
1439,Ratha Sarathi,Sarath,ANR,,,1993
1440,Rendilla Poojari,T Prabhakar,Suman,,,1993
1441,Rowdy Annayya,Tammareddy Bharadwaja,Ghattamaneni Krishna,,,1993
1442,Srinatha Kavi Sarvabhowmudu,Bapu,N. T. Rama Rao,,,1993
1443,Tholi Muddhu,K. Reddy,Divya Bharti,,,1993
1444,Topi Raja Sweety Roja,N Shiva Prasad,Rajendra Prasad,,,1993
1445,Varasudu,E. V. V. Satyanarayana,Krishna,,,1993
1446,Aame,E. V. V. Satyanarayana,Srikanth,,,1994
1447,Aavesham,Kodi Ramakrishna,Rajasekhar,,,1994
1448,Alibaba Aradajanu Dongalu,E. V. V. Satyanarayana,Rajendra Prasad,,,1994
1449,Allari Premikudu,K. Raghavendra Rao,Jagapathi Babu,,,1994
1450,Allarodu,K. Ajay Kumar,Rajendra Prasad,,,1994
1451,Ammayi Kapuram,Muthyala Subbaiah,Ali,,,1994
1452,Angarakshakudu,Joshi(Malayalam),Rajasekhar,,,1994
1453,Anna,Muthyala Subbaiah,Rajasekhar,,,1994
1454,Bangaru Kutumbam,Dasari Narayana Rao,Akkineni Nageswara Rao,,,1994
1455,Bhairava Dweepam,Singeetam Srinivasa Rao,Nandamuri Balakrishna,,,1994
1456,Bhale Pellam,Kranthi Kumar,Jagapathi Babu,,,1994
1457,Bobbili Simham,A. Kodandarami Reddy,Nandamuri Balakrishna,,,1994
1458,Brahmachari Mogudu,Relangi Narasimha Rao,Rajendra Prasad,,,1994
1459,Captain,Kodi Ramakrishna,R. Sarathkumar,,,1994
1460,Criminal,Mahesh Bhatt,Akkineni Nagarjuna,,,1994
1461,Gandeevam,Priyadarshan,Akkineni Nageswara Rao,,,1994
1462,Gangmaster,B. Gopal,Rajasekhar,,,1994
1463,Gharana Alludu,Muppalaneni Shiva,Krishna,,,1994
1464,Govinda Govinda,Ram Gopal Varma,Nagarjuna Akkineni,,,1994
1465,Hello Brother,E. V. V. Satyanarayana,Nagarjuna Akkineni,,,1994
1466,Jailor Gaari Abbayi,Sarath Babu,Krishnam Raju,,,1994
1467,Kooturu,Srinivasa Rao,Srikanth,,,1994
1468,Lucky Chance,Siva Nageswara Rao,Rajendra Prasad,,,1994
1469,M Dharmaraju M.A.,Ravi Raja Pinisetty,Mohan Babu,,,1994
1470,Madam,Singeetam Srinivasa Rao,Rajendra Prasad,,,1994
1471,Maga Rayudu,E. V. V. Satyanarayana,Karthik,,,1994
1472,Muddula Priyudu,K. Raghavendra Rao,Daggubati Venkatesh,,,1994
1473,Mugguru Monagallu,K. Raghavendra Rao,Chiranjeevi,,,1994
1474,Number One,S. V. Krishna Reddy,Krishna,,,1994
1475,Palnati Pourusham,Muthyala Subbaiah,Krishnam Raju,,,1994
1476,Pelli Koduku,Bapu,Naresh,,,1994
1477,Pokkiri Raja,A. Kodandarami Reddy,Daggubati Venkatesh,,,1994
1478,Punyabhoomi Naa Desam,A. Kodandarami Reddy,Mohan Babu,,,1994
1479,S. P. Parasuram,Raviraja Pinisetty,Chiranjeevi,,,1994
1480,Shubhalagnam,S. V. Krishna Reddy,Jagapathi Babu,,,1994
1481,Super Police,K. Muralimohan Rao,Daggubati Venkatesh,,,1994
1482,Teerpu,Uppalapati Narayana Rao,Akkineni Nageswara Rao,,,1994
1483,Top Hero,S. V. Krishna Reddy,Balakrishna,,,1994
1484,Vaddu Bava Thappu,K. Ajay Kumar,Rajendra Prasad,,,1994
1485,Yamaleela,S. V. Krishna Reddy,Satyanarayana Kaikala,,,1994
1486,Aadaalla Majaka,Muthyala Subbaiah,Vikram,,,1995
1487,Aayanaki Iddaru,E. V. V. Satyanarayana,Jagapati Babu,,,1995
1488,Adavi Dora,K. Sadasivarao,Sobhan Babu,,,1995
1489,Alluda Majaka,E. V. V. Satyanarayana,Chiranjeevi,,,1995
1490,Amma Donga,Sagar,Krishna,,,1995
1491,Ammoru,Kodi Ramakrishna,Suresh,,,1995
1492,Aunty,Mouli,Jayasudha,,,1995
1493,Ayanaku Iddaru,E. V. V. Satyanarayana,Jagapathi Babu,,,1995
1494,Bhale Bullodu,Sarath Babu,Jagapathi Babu,,,1995
1495,Big Boss,Vijaya Bapineedu,Chiranjeevi,,,1995
1496,Chilakapachcha Kaapuram,Kodi Ramakrishna,Jagapathi Babu,,,1995
1497,Criminal,K. S. Rama Rao,Nagarjuna Akkineni,,,1995
1498,Ghatotkachudu,S. V. Krishna Reddy,Satyanarayana Kaikala,,,1995
1499,Gharana Bullodu,K. Raghavendra Rao,Akkineni Nagarjuna,,,1995
1500,God Father,Kodi Ramakrishna,Vinod Kumar,,,1995
1501,Ketu Duplicate,Relangi Narasimha Rao,Rajendra Prasad,,,1995
1502,Lingababu Love Story,Vamsy,Rajendra Prasad,,,1995
1503,Maato Pettukoku,A. Kodandarami Reddy,Nandamuri Balakrishna,,,1995
1504,Maya Bazaar,Dasari Narayana Rao,ANR,,,1995
1505,Money Money,Shiva Nageswara Rao,Jagapathi Babu,,,1995
1506,Mounam,C. Umamaheshwara Rao,Arvind Swamy,,,1995
1507,Mummy Mee Aayanochadu,K. Ajay Kumar,Rajendra Prasad,,,1995
1508,Nirantharam,,Raghubir Yadav,,,1995
1509,Pedarayudu,Raviraja Pinisetty,Mohan Babu,,,1995
1510,Pelli Sandadi,K. Raghavendra Rao,Srikanth,,,1995
1511,Pokiri Raja,A. Kodandarami Reddy,Daggubati Venkatesh,,,1995
1512,Punya Bhoomi Naa Desam,A. Kodandarami Reddy,Mohan Babu,,,1995
1513,Raja Simham,,Rajasekhar,,,1995
1514,Rikshavodu,Kodi Ramakrishna,Chiranjeevi,,,1995
1515,Sankalpam,A. M. Rathnam,Jagapati Babu,,,1995
1516,Sisindri,Shiva Nageswara Rao,Nagarjuna,,,1995
1517,Sogasu Chuda Taramaa?,Gunasekhar,Naresh,,,1995
1518,Stri,K. S. Sethumadhavan,Rohini,,,1995
1519,Subha Sankalpam,K. Vishwanath,Kamal Haasan,,,1995
1520,Subhamastu,Bhimaneni Srinivasa Rao,Jagapati Babu,,,1995
1521,Taj Mahal,Muppulaleni Siva,Srikanth,,,1995
1522,Vajram,S. V. Krishna Reddy,Akkineni Nagarjuna,,,1995
1523,Adirindi Alludu,E. V. V. Satyanarayana,Mohan Babu,,,1996
1524,Akka! Bagunnava?,Mouli,Vikram,,,1996
1525,Akkada Ammayi Ikkada Abbayi,E. V. V. Satyanarayana,Pawan Kalyan,,,1996
1526,Akkum Bakkum,K. Ram Gopal,Ali,,,1996
1527,Amma Ammani Choodalanivundi,Sagar,"Vinod Kumar, ",,,1996
1528,Amma Durgamma,Vandemataram Srinivas,Shashikumar,,,1996
1529,Bala Ramayanam,Guna Sekhar,Jr. NTR,,,1996
1530,Bombay Priyudu,K. Raghavendra Rao,J. D. Chakravarthy,,,1996
1531,Chinnabbayi,K. Vishwanath,Daggubati Venkatesh,,,1996
1532,Deyyam,Ram Gopal Varma,J. D. Chakravarthy,,,1996
1533,Dharma Chakram,Suresh Krishna,Daggubati Venkatesh,,,1996
1534,Drohi,P. C. Sreeram,Kamal Hassan,,,1996
1535,Family,Vijaya Bapineedu,Rajendra Prasad,,,1996
1536,Gulabi,Krishna Vamshi,J. D. Chakravarthy,,,1996
1537,Gunshot,S. V. Krishna Reddy,Ali,,,1996
1538,Intlo Illalu Vantintlo Priyuralu,E. V. V. Satyanarayana,Daggubati Venkatesh,,,1996
1539,Jabilamma Pelli,A. Kodandarami Reddy,Jagapathi Babu,,,1996
1540,Ladies Doctor,Ramu,Rajendra Prasad,,,1996
1541,Little Soldiers,Gangaraju Gunnam,Baladitya,,,1996
1542,Maa Aavida Collector,Kodi Ramakrishna,Jagapathi Babu,,,1996
1543,Maavichiguru,S. V. Krishna Reddy,Jagapathi Babu,,,1996
1544,Merupu,Gopichand Nadella,Vikram,,,1996
1545,Mrugam,Rudrajj Suresh Varma,J. D. Chakravarthy,,,1996
1546,Ninne Pelladata,Krishna Vamsi,Nagarjuna Akkineni,,,1996
1547,Ooha,Sivala Prabhakar,Vikram,,,1996
1548,Pavitra Bandham,Muthyala Subbaiah,Daggubati Venkatesh,,,1996
1549,Pittala Dora,Sana Yadireddy,Aali,,,1996
1550,Rambantu,Bapu,Rajendra Prasad,,,1996
1551,Ramudochadu,A. Kodandarami Reddy,Akkineni Nagarjuna,,,1996
1552,Rayudugaru Nayudugaru,Dasari Narayana Rao,ANR,,,1996
1553,Sahasa Veerudu Sagara Kanya,K. Raghavendra Rao,Daggubati Venkatesh,,,1996
1554,Sarada Bullodu,Raviraja Pinisetty,Daggubati Venkatesh,,,1996
1555,Sri Krishnarjuna Vijayam,Singeetam Srinivasa Rao,Balakrishna,,,1996
1556,Srikaram,C. Uma Maheswara Rao,Jagapati Babu,,,1996
1557,Vamsanikokkadu,Sarath,Balakrishna,,,1996
1558,Vinodam,S. V. Krishna Reddy,Meka Srikanth,,,1996
1559,Aahvaanam,S. V. Krishna Reddy,Srikanth,,,1997
1560,Aaro Pranam,K. Veery,Vineeth,,,1997
1561,Abbaigari Pelli,Sharath,Suman,,,1997
1562,Anaganaga Oka Roju,Ram Gopal Varma,J. D. Chakravarthy,,,1997
1563,Annamayya,K. Raghavendra Rao,Nagarjuna Akkineni,,,1997
1564,Chilakkottudu,E. V. V. Satyanarayana,Jagapati Babu,,,1997
1565,Chinnabbayi,K. Viswanath,Daggubati Venkatesh,,,1997
1566,Collector Garu,B. Gopal,Mohan Babu,,,1997
1567,Devudu,Raviraja Pinisetty,Balakrishna,,,1997
1568,Dongaata,Kodi Ramakrishna,Jagapati Babu,,,1997
1569,Egire Paavurama,S. V. Krishna Reddy,Srikanth,,,1997
1570,Gokulamlo Seeta,Muthyala Subbaiah,Pawan Kalyan,,,1997
1571,Hitler,Muthyala Subbaiah,Chiranjeevi,,,1997
1572,Jai Bajarangabhali,T. Prabhakar,Rajendra Prasad,,,1997
1573,Kurralla Rajyam,Boyapati Kameswara Rao,Vikram,,,1997
1574,Maa Nannaku Pelli,E. V. V. Satyanarayana,Krishnam Raju,,,1997
1575,Mama Bagunnava,Kodi Ramakrishna,Rajendra Prasad,,,1997
1576,Master,Suresh Krishna,Chiranjeevi,,,1997
1577,Muddula Mogudu,A. Kodandarami Reddy,Balakrishna,,,1997
1578,Oka Chinna Maata,Muthyala Subbaiah,Jagapati Babu,,,1997
1579,Omkaram,Upendra,Rajasekhar,,,1997
1580,Osey Ramulamma,Dasari Narayana Rao,Vijayashanti,,,1997
1581,Peddannayya,Sharat,Balakrishna,,,1997
1582,Pelli,Kodi Ramakrishna,"Vadde Naveen, ",,,1997
1583,Pelli Chesukundam,Muthyala Subbaiah,Venkatesh,,,1997
1584,Pelli Pandiri,Kodi Ramakrishna,Jagapati Babu,,,1997
1585,Preminchukundam Raa,Jayanth C. Paranjee,Daggubati Venkatesh,,,1997
1586,Priya O Priya,Muppulaneni Shiva,"Vadde Naveen, ",,,1997
1587,Priyaragalu,A. Kodandarami Reddy,Jagapati Babu,,,1997
1588,Sindhooram,Krishna Vamsi,Ravi Teja,,,1997
1589,Subhakankshalu,Bhimaneni Srinivasa Rao,Jagapathi Babu,,,1997
1590,Surya Putrulu,C. Umamaheswara Rao,Mammootty,,,1997
1591,Suswagatham,Bhimaneni Srinivasa Rao,Pawan Kalyan,,,1997
1592,Taraka Ramudu,R. V. Udayakumar,Srikanth,,,1997
1593,Thaali,E. V. V. Satyanarayana,Srikanth,,,1997
1594,Veedevadandi Babu,E. V. V. Satyanarayana,Mohan Babu,,,1997
1595,Ugadi,S. V. Krishna Reddy,S. V. Krishna Reddy,,,1997
1596,Aahaa..!,Suresh Krishna,Jagapathi Babu,,,1998
1597,Aavida Maa Aavide,E. V. V. Satyanarayana,Nagarjuna Akkineni,,,1998
1598,Abhishekam,S. V. Krishna Reddy,"S. V. Krishna Reddy, ",,,1998
1599,All Rounder,T. Prabhakar,Rajendra Prasad,,,1998
1600,Andaru Herole,K. Umakanth,Ali,,,1998
1601,Antahpuram,Krishna Vamsi,Soundarya,,,1998
1602,Auto Driver,Suresh Krishna,Nagarjuna Akkineni,,,1998
1603,Ayanagaru,N Satya,Srikanth,,,1998
1604,Bavagaru Bagunnara?,Jayanth C. Paranjee,Chiranjeevi,,,1998
1605,Chandralekha,Krishna Vamsi,Nagarjuna Akkineni,,,1998
1606,Choodalani Vundi,Gunasekhar,Chiranjeevi,,,1998
1607,Daddy Daddy,Kodi Ramakrishna,ANR,,,1998
1608,Deergha Sumangali Bhava,S. V. Krishna Reddy,Rajasekhar,,,1998
1609,Ganesh,Tirupathi Swamy,Daggubati Venkatesh,,,1998
1610,Gillikajjalu,Muppulaleni Siva,Srikanth,,,1998
1611,Kante Koothurne Kanu,Dasari Narayana Rao,Dasari Narayana Rao,,,1998
1612,Kanyadanam,E. V. V. Satyanarayana,Upendra,,,1998
1613,Love Story 1999,K. Raghavendra Rao,Prabhu Deva,,,1998
1614,Maavidaakulu,E. V. V. Satyanarayana,Jagapati Babu,,,1998
1615,Mee Aayana Jagratha,Muthyala Ramadas,Rajendra Prasad,,,1998
1616,Navvulata,Gopichand Nadella,Rajendra Prasad,,,1998
1617,Nenu Premisthunnanu,E. V. V. Satyanarayana,J. D. Chakravarthy,,,1998
1618,Ooyala,S. V. Krishna Reddy,Meka Srikanth,,,1998
1619,Pandaga,Sarath,ANR,,,1998
1620,Paradesi,K. Raghavendra Rao,"Viswas, Madhav, Tanooja",,,1998
1621,Pavitra Prema,Muthyala Subbaiah,Nandamuri Balakrishna,,,1998
1622,Pelli Kanuka,Kodi Ramakrishna,Jagapati Babu,,,1998
1623,Pelli Peetalu,S. V. Krishna Reddy,Jagapati Babu,,,1998
1624,Premante Idera,Jayanth C. Paranjee,Daggubati Venkatesh,,,1998
1625,Prema Pallaki,Sana Yadireddy,Suresh,,,1998
1626,Rana,A. Kodandarami Reddy,Nandamuri Balakrishna,,,1998
1627,Raayudu,Ravi Raja Pinisetty,Mohan Babu,,,1998
1628,Sivayya,Suresh Varma,Rajasekhar,,,1998
1629,Sri Sita Ramula Kalyanam Chootamu Raarandi,Y. V. S. Chowdary,ANR,,,1998
1630,Srimathi Vellostha,K. Raghavendra Rao,Jagapati Babu,,,1998
1631,Subhavartha,P. N. Ramachandra Rao,Arjun,,,1998
1632,Sultan,Sarath,Nandamuri Balakrishna,,,1998
1633,Suprabhatam,Bhimaneni Srinivasa Rao,Srikanth,,,1998
1634,Suryavamsam,Bhimaneni Srinivasa Rao,Daggubati Venkatesh,,,1998
1635,Suryudu,Muthyala Subbaiah,Rajasekhar,,,1998
1636,Tholi Prema,A. Karunakaran,Pawan Kalyan,,,1998
1637,Ulta Palta,Relangi Narasimha Rao,Rajendra Prasad,,,1998
1638,W/o V. Vara Prasad,Vamsy,Vineeth,,,1998
1639,Aavide Shyamala,Kodi Ramakrishna,Prakash Raj,,,1999
1640,Alludugaaru Vachcharu,Ravi Raja Pinisetty,Jagapati Babu,,,1999
1641,Ammo Polisollu,,"Siva Krishna, Ragini",,,1999
1642,Anaganaga Oka Ammai,Ramesh Sarangan,Srikanth,,,1999
1643,Asala Sandadi,Anil Kishore,Ali,,,1999
1644,Bobbili Vamsam,K. S. Adhyaman,Rajasekhar,,,1999
1645,Chala Bagundi,E. V. V. Satyanarayana,Srikanth,,,1999
1646,Chinni Chinni Aasa,,Rajendra Prasad,,,1999
1647,Devi,Kodi Ramakrishna,Prema,,,1999
1648,Dollar Dreams,Sekhar Kammula,Satya Krishnan,,,1999
1649,English Pellam East Godavari Mogudu ,Doraswamy Raju,Srikanth,,,1999
1650,Harischandraa,Thulasi Kumar,J. D. Chakravarthy,,,1999
1651,Hello Yama,Pavitran,Suresh,,,1999
1652,Iddaru Mitrulu,K. Raghavendra Rao,Chiranjeevi,,,1999
1653,Kaama,Ashok Kumar,"Vishal, Sunila, Urvashi",,,1999
1654,Krishna Babu,Muthyala Subbaiah,Nandamuri Balakrishna,,,1999
1655,Maa Balaji,Kodi Ramakrishna,"Vadde Naveen, ",,,1999
1656,Manasichi Choodu,Suresh Varma,"Vadde Naveen, ",,,1999
1657,Manasulo Maata,S. V. Krishna Reddy,Jagapati Babu,,,1999
1658,Manavudu Danavudu,,Krishna,,,1999
1659,Manikyam,Mutyala Subbaiah,Srikanth,,,1999
1660,Maya,Rama Narayanan,Napolean,,,1999
1661,Mechanic Mavayya,Rajendra Singh,Rajasekhar,,,1999
1662,Naa Hrudayamlo Nidurinche Cheli,AVS Adi Narayana,"Vadde Naveen, ",,,1999
1663,Nee Kosam,Srinu Vaitla,Ravi Teja,,,1999
1664,Neti Gandhi,E. V. V. Satyanarayana,Rajasekhar,,,1999
1665,Panchadara Chilaka,Kodi Ramakrishna,Srikanth,,,1999
1666,Pilla Nachindi,E. V. V. Satyanarayana,Srikanth,,,1999
1667,Pedda Manushulu,Boyina Subba Rao,Suman,,,1999
1668,Prema Katha,Ram Gopal Varma,Sumanth,,,1999
1669,Premaku Velayera,S. V. Krishna Reddy,J. D. Chakravarthy,,,1999
1670,Preminche Manasu,AVS Adi Narayana,Vadde Naveen,,,1999
1671,Preyasi Raave,Chandra Mahesh,Srikanth,,,1999
1672,Raja,Muppulaneni Siva,Daggubati Venkatesh,,,1999
1673,Raja Kumarudu,K. Raghavendra Rao,Mahesh Babu,,,1999
1674,Rajasthan,R. K. Selvamani,Sharath Kumar,,,1999
1675,Ramasakkanodu,Sagar,Suman,,,1999
1676,Ravoyi Chandamama,Jayanth C. Paranjee,Nagarjuna Akkineni,,,1999
1677,Sambayya,K. S. Nageswara Rao,Srihari,,,1999
1678,Samarasimha Reddy,B. Gopal,Nandamuri Balakrishna,,,1999
1679,Samudram,Krishna Vamsi,Jagapati Babu,,,1999
1680,Seenu,Sashi,Daggubati Venkatesh,,,1999
1681,Seetharama Raju,YVS Chowdhary,Nagarjuna Akkineni,,,1999
1682,Sneham Kosam,K. S. Ravikumar,Chiranjeevi,,,1999
1683,Speed Dancer,Muppalaneni Shiva,Raghava Lawrence,,,1999
1684,Sri Ramulayya,Nimmala Shankar,Mohan Babu,,,1999
1685,Sultan,Sarath,Nandamuri Balakrishna,,,1999
1686,Swapnalokam,Bhimaneni Srinivasa Rao,Jagapati Babu,,,1999
1687,Swayamvaram,K. Vijaya Bhaskar,Venu,,,1999
1688,Thammudu,P. A. Arun Prasad,Pawan Kalyan,,,1999
1689,Telangana,,Suresh,,,1999
1690,Veedu Samanyudu Kadhu,Uppalapati Narayana,Prakash Raj,,,1999
1691,Velugu Needalu,Mourya,"Venkat, ",,,1999
1692,Vichitram,Jandhyala,"Gajjal Srinivas, ",,,1999
1693,Yamajathakudu,Nimmala Shankar,Mohan Babu,,,1999
1694,Kalidas,H. M. Reddy,T. P. Rajalakshmi,"Biographical","31 October 1931",1930
1695,Bhakta Prahlada,H. M. Reddy,"Venkata Subbaiah Munipalle, ",Devotional,"6 February 1932",1930
1696,Rama Paduka Pattabhishekam,Sarvottam Badami,C. S. R. Anjaneyulu,"Devotional","",1930
1697,Shakuntala,Sarvottam Badami,Yadavalli Suryanarayana,"Mythology","",1930
1698,Chintamani,Sadasiva Rao Kallakoori,"Master Baburao, Bhadracharyulu, Pulipati Venkateswarulu, P Ramatilakam, Parvatibai etc.","Devotional","29 July 1933",1930
1699,Prithvi Putra,Potina Srinivasa Rao,"Parepalli Satyannarayana, ","Devotional","20 December 1933",1930
1700,Prajvala Alapana,"Sadasiva Rao",,,"",1930
1701,Ramadasu,C. Pullaiah,Ghantasala Balaramayya,"Devotional","2 September 1933",1930
1702,Sati Savitri,C. Pullaiah,"Nidumukkala Subba Rao, Rama Thilakam, ","Devotional","5 February 1933",1930
1703,"Sathi Savitri",H. M. Reddy,"Kanthamani, V.V. Subba Rao, K.L. Kantham, Hem Singh","Devotional","4 February 1933",1930
1704,Athulya Sahavasam,"Pullaya",,,"",1930
1705,Ahalya,"K. Rangarao",,,"",1930
1706,Lava Kusa,C. Pullaiah,"Parupalli Subba Rao, ","Devotional","22 December 1934",1930
1707,Sita Kalyanam,"C. Narasimha Rao","Madhavapeddi Venkatramaiah, Master Kalyani, Bezawada Rajarathnam, P. Rama Thilakam, Nageswara Rao, Lanka Krishnamurthy","Devotional","6 October 1934",1930
1708,Bhakta Kuchela,"K. Sadasivarao",K. Raghuramaiah,"Devotional","20 July 1935",1930
1709,Harishchandra,"T. A. Raman","Adhanki Srirama Murthy, ","Devotional","9 November 1935",1930
1710,Sati Anasuya,"Ahin Chowdhary","Dasari Kotaratnam, Tungala Chalapati",Devotional,"",1930
1711,Sati Sakkubai,"Charu Rai","Tungala Chalapati Rao, Dasari Kotiratnam, Suravarapu Venkateswarulu, Dasari Anjani Bai","Devotional","21 May 1935",1930
1712,Sri Krishna Leelalu,"C. Narasimha Rao",S. Rajeswara Rao,,"30 November 1935",1930
1713,Sri Krishna Tulabharam,C. Pullaiah,"Ramanatha Sastri Kapilavayi, ",Devotional,"22 April 1935",1930
1714,Rani Premalata,"",,,"",1930
1715,Dhruva (Also Known as Dhruva Vijayamu),C. Pullaiah,"C. Narayanaswamy, T. Venkateswarulu, M. Hemalata, Sitaram, M. Rangachari, A. Narasimha Rao, Lalitha",Mythology,"",1930
1716,Draupadi Maanasamrakshana,"N. Jaganatha Swamy",Bellary Raghava,Mythology,"24 March 1936",1930
1717,Draupadi Vastrapaharanam,"H. Vishwanath Babu
",Yadavalli Suryanarayana,Mythology,"29 February 1936
",1930
1718,Kabir,"S. Rangaswamy
",,,"5 February 1936
",1930
1719,Lanka Dahanam,"K. Sadasivarao
",K. Raghuramaiah,Mythology,"
",1930
1720,Mayabazar (Also Known as Sasirekha Parinayam),"P. V. Das
","Yadavalli Nageswara Rao, ",Mythology,"
",1930
1721,Premavijayam,"Krithiventi Nageshwara Rao
","Ranga Rao, P. S. Sharma, B. Rajalakshma, P. Rama Rao, ",,"
",1930
1722,Premilarjuneyam,"
",,,"
",1930
1723,Sampoorna Ramayanam,"I. Nagabhushana Rao, N. B. Narayana
","B. Narayana Murthy, M. Narayana Rao, ",Devotional,"
",1930
1724,Sati Tulasi,"C. Narasimha Rao
",Ghantasala Balaramayya,Mythology,"
",1930
1725,Sulochana,"
",,,"
",1930
1726,Veerabhimanyu,"V. D. Ameen
",Kanchanamala,Mythology,"
",1930
1727,Balayogini,K. Subrahmanyam,Baby Saroja,Drama,"
",1930
1728,Dasavataramulu,"K. V. Bhave
","Parepalli Subba Rao, Mandha Subbarao, Dronamraju Narasimharao, Tigela Venkateswarlu, Koderu Rajasodarulu, Dommiti Satyanarayana",Mythology,"27 September 1937
",1930
1729,Kanakatara,"H. Vishwanath Babu
","Dommeti Suryanarayana, ",Romance,"
",1930
1730,Mohini Rukmangada,"C. Narasimha Rao
",Vemuri Gaggaiah,Mythology,"
",1930
1731,Nara Narayana,"C. Narasimha Rao
","Adhanki Srirama Murthy, P. Rama Thilakam, Pulipati Venkateswarlu",Devotional,"
",1930
1732,Rukmini Kalyanam,"R. Nataraja Mudaliar
",K. Raghuramaiah,Devotional,"
",1930
1733,Sarangadhara,P. Pullaiah,Banda Kanakalingeshwara Rao,Devotional,"
",1930
1734,Vijayadashami,"
",,,"
",1930
1735,Vipra Narayana,"Ahindra Chaudhari
","Kasturi Narasimha Rao, ",Devotional,"
",1930
1736,Bhakta Jayadeva,"Hiren Bose
",Surabhi Kamalabai,Devotional,"
",1930
1737,Bhakta Markandeya,C. Narayana Murthy,Vemuri Gaggaiah,Devotional,"17 June 1938
",1930
1738,Chal Mohana Ranga,C. Pullaiah,"Valli Subba Rao, ",Drama,"12 January 1938 [Other 2 Documentary Films released]
",1930
1739,Chitranaleeyam,"D. Rami Reddy
",Banda Kanakalingeshwara Rao,Mythology,"
",1930
1740,Gruhalakshmi,H. M. Reddy,Chittor V. Nagaiah,Drama,"12 March 1938
",1930
1741,Gulebakavali,"Kallakoori Sadasiva Rao
",B. Jayamma,Fantasy,"
",1930
1742,Kacha Devayani,"C. Dronamraju
","S. P. Lakshmana Swamy, C. Krishnaveni, C. Suryanarayana Bhagavathar, R. Rami Reddy, K. Raghuramayya",Mythology,[1],1930
