,Title,Director,Cast,Genre,Date,Year
60,Panduranga Vittal,"B. V. Ramanandam","Panchangam Ramanujachary, T. Chalapathi Rao, Dasari Kotiratnam, D. Satyanarayana, Kanthamani",Devotional,"",""
61,Pasupathastram,"K. Ranga Rao",K. Raghuramaiah,Devotional,"",""
62,Mathru Bhoomi,H. M. Reddy,P. U. Chinnappa,Drama,"",""
63,Radha Krishna,"",,,"",""
64,Raithu Bidda,Gudavalli Ramabrahmam,Bellary Raghava,Social,"27 August 1939","1939"
65,"Sri Venkateswara Mahatyam",P. Pullaiah,C. S. R. Anjaneyulu,Devotional,"",""
66,Vande Mataram,B. N. Reddy,V. Nagayya,Social,"",""
67,Vara Vikrayam,C. Pullaiah,Pushpavalli,Social,"",""
68,Barrister Parvateesarrn,R. Prakash,"Lanka Satyam, ",Comedy,1940,1940
69,Bhoja Kalidasu,H. V. Babu,"Adhanki Srirama Murthy, Parepalli Subba Rao, ",Mythology,1940,1940
70,Bhookailas,Sundar Rao Nadkarni,M. V. Subbiah Naidu,Devotional,1940,1940
71,Bondam Pelli,H. M. Reddy,L. V. Prasad,Comedy,1940,1940
72,Chaduvukunna Bharya,H. M. Reddy,"Lanka Satyam, ",Comedy,1940,1940
73,Chandika,R. S. Prakash,P. Kannamba,Adventure,1940,1940
74,Illalu,Gudavalli Ramabrahmam,"V. Umamaheswara Rao, ",Family,1940,1940
75,Jeevana Jyothi,China Kameswara Rao Dronamraju,"Ch. Narayana Rao, ",Drama,1940,1940
76,Kalachakram,Amancharla Gopala Rao,Banda Kanakalingeshwara Rao,Drama,1940,1940
77,Mahiravana,Ch. Narayana Murthy,Vemuri Gaggaiah,Mythology,1940,1940
78,Malathi Madhavam,C. Pullaiah,Pushpavalli,Folklore,1940,1940
79,Meerabai,B. Narasimha Rao,Govindarajula Subba Rao,Devotional,1940,1940
80,Sumangali,B. N. Reddy,"A. S. Giri, ",Social,1940,1940
81,Viswa Mohini,Y. V. Rao,Chittor V. Nagaiah,Drama,1940,1940
82,Apavadu,Gudavalli Ramabrahmam,Kalyanam Raghuramaiah,"Drama",1941,1941
83,Bhaktimala,Haribhai Raghunathji Desai,B. R. Panthulu,"Drama",1941,1941
84,Chandrahasa,M. L. Rangaiah,"G. N. Swami, ","Folklore",1941,1941
85,Choodamani,P. K. Raja Sandow,Pushpavalli,"Drama",1941,1941
86,Dakshayagnam,Ch. Narayana Murthy,Vemuri Gaggaiah,"Mythology",1941,1941
87,Devatha,B. N. Reddy,Chittor V. Nagaiah,"Drama",1941,1941
88,Dharma Patni,P. Pullaiah,Santha Kumari,"Drama",1941,1941
89,Mahatma Gandhi,A. K. Chettiar,"Bezawada Rajarathnam, ","Documentary",1941,1941
90,Parvati Kalyanam,Ghantasala Balaramayya,"Parepalli Subba Rao, ","Devotional",1941,1941
91,Talli Prema,Jyotish Sinha,C. S. R. Anjaneyulu,"Drama",1941,1941
92,Tara Sasankam,R. S. Prakash,P. Suri Babu,"Mythology",1941,1941
93,Tarumaru,N. Jagannath,"Parabrahma Sri, Hemalatha, Dr. Sivarama Krishnaiah","Drama",1941,1941
94,Tenali Ramakrishna,H. M. Reddy,"S. P. Lakshmana Swamy, Parepalli Subba Rao, P. Ramatilakam, P. Ansuya, ","Folklore",1941,1941
95,Babruvahana,R. S. Prakash,K. S. Prakash Rao,"Drama",,1942
96,Bala Nagamma,C. Pullaiah,Kanchanamala,"Folklore",,1942
97,Bhakta Potana,K. V. Reddy,Chittor V. Nagaiah,"Biography",,1942
98,Bhakta Prahlada,Ch. Narayana Murthy,Vemuri Gaggaiah,"Mythology",,1942
99,Deena Bandhu,M. L. Tandon,C. H. Narayana Rao,"Drama",,1942
100,Gharana Donga,H. M. Reddy,L. V. Prasad,"Drama",,1942
101,Jeevana Mukthi,T. V. Neelakantan,P. Suribabu,"Devotional",,1942
102,Patni,Gudavalli Ramabrahmam,K. S. Prakash Rao,"Epic",,1942
103,Satyabhama,Y. V. Rao,Y. V. Rao,"Mythology",,1942
104,Satyame Jayam,H. M. Reddy,,"Drama",,1942
105,Shanta Bala Nagamma,S. V. S. Rama Rao,"M. Krishna Rao, ","Folklore",,1942
106,Sumati,K. B. Nagabhushanam,C. S. R. Anjaneyulu,"Drama",,1942
107,Bhagyalakshmi,P. Pullaiah,Chittor V. Nagaiah,"Drama",,1943
108,Bhakta Kabiru,Ch. Narasimha Rao,C. S. R. Anjaneyulu,"Devotional",,1943
109,Chenchu Lakshmi,S. Soundararajan,C. H. Narayana Rao,"Mythology",,1943
110,Garuda Garvabhangam,Ghantasala Balaramayya,P. Bhanumathi,"Mythology",,1943
111,Krishna Leela,,,"",,1943
112,Krishna Prema,H. V. Babu,"Gali Venkateswara Rao, ","Devotional",,1943
113,Panthulamma,Gudavalli Ramabrahmam,"V. Umamaheswara Rao, ","Drama",,1943
114,Pathi Bhakti,P. S. Srinivasa Rao,"B. T. Murthy, Subhadra, M. Subba Rao, Shantha Devi","Drama",,1943
115,Bhishma,Ch. Narayana Murthy,"Jandhyala Gaurinatha Sastri, ","Mythology",,1944
116,Circus King,,,"",,1944
117,Oka Roju Raju,Jyothi Sinha,"Jandhyala Gaurinatha Sastri, Purnima","",,1944
118,Samsara Naradhi,Ch. Narayana Murthy,"Madhali Krishamurthy, Bharat Sastri","Drama",,1944
119,Seeta Rama Jananam,Ghantasala Balaramayya,A. Nageswara Rao,"Mythology",,1944
120,Tahsildar,Y. V. Rao,Y. V. Rao,"Drama",,1944
121,Maya Machhindra,C. Pullaiah,"Jandhyala Gaurinatha Sastry, ","Mythology",,1945
122,Mayalokam,Gudavalli Ramabrahmam,A. Nageswara Rao,"Folklore",,1945
123,Paduka Pattabhishekam,K. B. Nagabhushanam,C. S. R. Anjaneyulu,"Mythology",,1945
124,Swarga Seema,B. N. Reddy,Chittor V. Nagaiah,"Drama",,1945
